%MEM   RSS
86.0 2567784
%MEM   RSS
85.7 2557300
%MEM   RSS
85.4 2548708
%MEM   RSS
86.0 2565716
%MEM   RSS
85.8 2560944
%MEM   RSS
86.1 2569576
%MEM   RSS
85.8 2559588
%MEM   RSS
86.2 2572652
%MEM   RSS
86.2 2573444
%MEM   RSS
86.0 2567680
%MEM   RSS
86.0 2566052
%MEM   RSS
86.1 2569580
%MEM   RSS
86.1 2570696
%MEM   RSS
85.9 2562504
%MEM   RSS
86.2 2573868
%MEM   RSS
86.1 2569016
%MEM   RSS
85.6 2555436
%MEM   RSS
86.4 2579872
%MEM   RSS
85.7 2558664
%MEM   RSS
85.8 2559564
%MEM   RSS
86.2 2571844
%MEM   RSS
85.8 2562416
%MEM   RSS
86.2 2572484
%MEM   RSS
85.8 2559712
%MEM   RSS
85.6 2556164
%MEM   RSS
85.9 2564596
%MEM   RSS
85.8 2561580
%MEM   RSS
86.0 2566868
%MEM   RSS
85.5 2553108
%MEM   RSS
86.1 2569712
%MEM   RSS
86.0 2565688
%MEM   RSS
86.3 2574976
%MEM   RSS
86.0 2566656
%MEM   RSS
85.8 2561644
%MEM   RSS
85.7 2556792
%MEM   RSS
85.5 2553408
%MEM   RSS
85.9 2563624
%MEM   RSS
85.1 2539748
%MEM   RSS
85.5 2551920
%MEM   RSS
85.9 2564652
%MEM   RSS
85.8 2560608
%MEM   RSS
85.7 2557584
%MEM   RSS
85.6 2556052
%MEM   RSS
85.2 2542684
%MEM   RSS
85.6 2555996
%MEM   RSS
85.5 2552896
%MEM   RSS
85.9 2565172
%MEM   RSS
85.5 2552316
%MEM   RSS
85.9 2562960
%MEM   RSS
85.7 2558176
%MEM   RSS
85.5 2552496
%MEM   RSS
85.7 2558880
%MEM   RSS
86.0 2566072
%MEM   RSS
85.7 2558692
%MEM   RSS
85.9 2565316
%MEM   RSS
85.6 2556364
%MEM   RSS
85.9 2564732
%MEM   RSS
