%MEM   RSS
%MEM   RSS
80.6 2406340
%MEM   RSS
81.0 2416696
%MEM   RSS
81.2 2423084
%MEM   RSS
80.9 2414456
%MEM   RSS
81.2 2424812
%MEM   RSS
81.2 2422532
%MEM   RSS
81.1 2420848
%MEM   RSS
81.0 2418944
%MEM   RSS
81.0 2417896
%MEM   RSS
81.2 2424092
%MEM   RSS
81.2 2422504
%MEM   RSS
81.2 2424236
%MEM   RSS
81.2 2424908
%MEM   RSS
81.1 2422100
%MEM   RSS
81.1 2420720
%MEM   RSS
81.0 2418548
%MEM   RSS
81.0 2416888
%MEM   RSS
80.9 2414488
%MEM   RSS
81.0 2419280
%MEM   RSS
80.7 2409748
%MEM   RSS
81.1 2421164
%MEM   RSS
81.0 2418452
%MEM   RSS
80.9 2413832
%MEM   RSS
80.8 2413236
%MEM   RSS
81.0 2417488
%MEM   RSS
80.9 2414328
%MEM   RSS
80.8 2411992
%MEM   RSS
80.7 2408848
%MEM   RSS
81.1 2420524
%MEM   RSS
81.0 2417124
%MEM   RSS
80.4 2400964
%MEM   RSS
80.8 2412348
%MEM   RSS
80.7 2408984
%MEM   RSS
80.6 2406672
%MEM   RSS
80.8 2413012
%MEM   RSS
81.0 2417512
%MEM   RSS
80.9 2415012
%MEM   RSS
80.8 2412252
%MEM   RSS
80.7 2409600
%MEM   RSS
80.6 2406968
%MEM   RSS
80.6 2405356
%MEM   RSS
80.5 2402112
%MEM   RSS
80.8 2412204
%MEM   RSS
80.6 2407048
%MEM   RSS
80.5 2401956
%MEM   RSS
80.3 2398052
%MEM   RSS
80.1 2390164
%MEM   RSS
80.5 2401720
%MEM   RSS
80.4 2400396
%MEM   RSS
80.5 2404360
%MEM   RSS
80.4 2400812
%MEM   RSS
80.6 2406372
%MEM   RSS
80.5 2402352
%MEM   RSS
80.9 2413328
%MEM   RSS
80.8 2410988
%MEM   RSS
80.7 2408000
%MEM   RSS
80.8 2411808
%MEM   RSS
80.7 2408756
%MEM   RSS
81.0 2418372
%MEM   RSS
81.2 2422912
%MEM   RSS
81.1 2420320
%MEM   RSS
81.0 2417052
%MEM   RSS
81.2 2422356
%MEM   RSS
81.1 2419776
%MEM   RSS
81.5 2431356
%MEM   RSS
81.4 2430168
%MEM   RSS
81.3 2427784
%MEM   RSS
81.2 2425080
%MEM   RSS
81.4 2429448
%MEM   RSS
81.2 2423368
%MEM   RSS
81.3 2426668
%MEM   RSS
81.2 2423936
%MEM   RSS
81.1 2421056
%MEM   RSS
81.5 2431736
%MEM   RSS
81.4 2429464
%MEM   RSS
81.4 2428380
%MEM   RSS
81.0 2416884
%MEM   RSS
81.3 2428092
%MEM   RSS
81.4 2430232
%MEM   RSS
81.1 2420488
%MEM   RSS
81.5 2432192
%MEM   RSS
81.4 2428808
%MEM   RSS
81.2 2422924
%MEM   RSS
81.5 2434124
%MEM   RSS
81.5 2433436
%MEM   RSS
81.4 2429776
%MEM   RSS
81.8 2442960
%MEM   RSS
81.3 2425964
%MEM   RSS
81.6 2436916
%MEM   RSS
81.3 2426856
%MEM   RSS
81.6 2436824
%MEM   RSS
82.0 2448144
%MEM   RSS
81.6 2434724
%MEM   RSS
82.0 2447656
%MEM   RSS
81.9 2445728
%MEM   RSS
81.8 2443148
%MEM   RSS
81.7 2437992
%MEM   RSS
82.0 2448156
%MEM   RSS
81.9 2445660
%MEM   RSS
81.9 2444800
%MEM   RSS
82.3 2455460
%MEM   RSS
82.0 2446576
%MEM   RSS
81.6 2434944
%MEM   RSS
81.9 2445056
%MEM   RSS
82.1 2451356
%MEM   RSS
82.1 2449868
%MEM   RSS
82.4 2460048
%MEM   RSS
81.8 2441892
%MEM   RSS
82.2 2454088
%MEM   RSS
81.5 2433208
%MEM   RSS
81.9 2445272
%MEM   RSS
82.3 2455224
%MEM   RSS
81.4 2430476
%MEM   RSS
81.8 2442156
%MEM   RSS
82.1 2450708
%MEM   RSS
82.5 2461180
%MEM   RSS
82.5 2462528
%MEM   RSS
82.4 2460596
%MEM   RSS
82.4 2460620
%MEM   RSS
81.5 2431612
%MEM   RSS
81.8 2441620
%MEM   RSS
82.1 2451736
%MEM   RSS
82.5 2462020
%MEM   RSS
82.2 2454892
%MEM   RSS
82.6 2464916
%MEM   RSS
82.6 2465056
%MEM   RSS
82.6 2465368
%MEM   RSS
82.1 2451740
%MEM   RSS
82.5 2461108
%MEM   RSS
82.4 2459040
%MEM   RSS
82.2 2452456
%MEM   RSS
82.6 2464096
%MEM   RSS
82.4 2460004
%MEM   RSS
82.0 2447128
%MEM   RSS
82.3 2457620
%MEM   RSS
82.3 2455184
%MEM   RSS
82.3 2457484
%MEM   RSS
82.3 2457460
%MEM   RSS
82.0 2446428
%MEM   RSS
82.3 2457184
%MEM   RSS
82.4 2458780
%MEM   RSS
82.3 2457552
%MEM   RSS
82.2 2454900
%MEM   RSS
81.6 2435048
%MEM   RSS
81.5 2433664
%MEM   RSS
81.4 2428404
%MEM   RSS
81.6 2435764
%MEM   RSS
80.9 2416008
%MEM   RSS
81.3 2427352
%MEM   RSS
81.4 2430028
%MEM   RSS
81.3 2426584
%MEM   RSS
81.6 2437164
%MEM   RSS
81.5 2431940
%MEM   RSS
81.3 2426172
%MEM   RSS
81.7 2437264
%MEM   RSS
81.4 2428960
%MEM   RSS
81.3 2427000
%MEM   RSS
81.7 2438728
%MEM   RSS
81.6 2434652
%MEM   RSS
81.5 2431608
%MEM   RSS
81.3 2427520
%MEM   RSS
81.2 2424788
%MEM   RSS
81.2 2422852
%MEM   RSS
81.2 2423500
%MEM   RSS
81.5 2434092
%MEM   RSS
81.5 2431308
%MEM   RSS
81.3 2427244
%MEM   RSS
81.6 2437112
%MEM   RSS
81.3 2425332
%MEM   RSS
81.6 2435176
%MEM   RSS
81.6 2435732
%MEM   RSS
81.5 2432192
%MEM   RSS
81.4 2428980
%MEM   RSS
81.2 2424868
%MEM   RSS
81.6 2436332
%MEM   RSS
81.5 2433444
%MEM   RSS
81.4 2430972
%MEM   RSS
81.4 2429700
%MEM   RSS
81.1 2419888
%MEM   RSS
81.4 2430280
%MEM   RSS
81.8 2441680
%MEM   RSS
81.7 2437228
%MEM   RSS
81.6 2434264
%MEM   RSS
81.4 2429892
%MEM   RSS
81.3 2427304
%MEM   RSS
81.7 2439252
%MEM   RSS
81.7 2437568
%MEM   RSS
81.2 2425072
%MEM   RSS
81.6 2435836
%MEM   RSS
81.5 2434032
