%MEM   RSS
81.9 2444088
%MEM   RSS
81.9 2444088
%MEM   RSS
81.9 2444088
%MEM   RSS
81.9 2444088
%MEM   RSS
81.9 2444088
%MEM   RSS
81.9 2444088
%MEM   RSS
81.9 2444088
%MEM   RSS
81.9 2444088
%MEM   RSS
81.9 2444088
%MEM   RSS
81.9 2444088
%MEM   RSS
81.9 2444088
%MEM   RSS
81.9 2444088
%MEM   RSS
81.9 2444088
%MEM   RSS
81.9 2444088
%MEM   RSS
81.9 2444088
%MEM   RSS
81.9 2444088
%MEM   RSS
81.9 2444088
%MEM   RSS
81.9 2444088
%MEM   RSS
81.9 2444088
%MEM   RSS
81.9 2444088
%MEM   RSS
81.9 2444088
%MEM   RSS
81.9 2444088
%MEM   RSS
81.9 2444088
%MEM   RSS
81.9 2444088
%MEM   RSS
81.9 2444088
%MEM   RSS
81.9 2444088
%MEM   RSS
81.9 2444088
%MEM   RSS
81.9 2444088
%MEM   RSS
81.9 2444088
%MEM   RSS
81.9 2444088
%MEM   RSS
81.9 2444088
%MEM   RSS
81.9 2444088
%MEM   RSS
81.9 2444088
%MEM   RSS
81.9 2444088
%MEM   RSS
81.9 2444088
%MEM   RSS
81.9 2444088
%MEM   RSS
81.9 2444088
%MEM   RSS
81.9 2444088
%MEM   RSS
81.9 2444088
%MEM   RSS
81.9 2444088
%MEM   RSS
81.9 2444088
%MEM   RSS
81.9 2444088
%MEM   RSS
81.9 2444088
%MEM   RSS
81.9 2444088
%MEM   RSS
81.9 2444088
%MEM   RSS
81.9 2444088
%MEM   RSS
81.9 2444088
%MEM   RSS
81.9 2444088
%MEM   RSS
81.9 2444088
%MEM   RSS
81.9 2444088
%MEM   RSS
81.9 2444088
%MEM   RSS
82.0 2446148
%MEM   RSS
82.0 2448932
%MEM   RSS
82.2 2452304
%MEM   RSS
82.3 2455120
%MEM   RSS
82.3 2457664
%MEM   RSS
82.4 2460208
%MEM   RSS
82.4 2460900
%MEM   RSS
82.4 2460900
%MEM   RSS
82.4 2460900
%MEM   RSS
82.4 2460900
%MEM   RSS
82.4 2460900
%MEM   RSS
82.4 2460900
%MEM   RSS
82.4 2460900
%MEM   RSS
82.4 2460900
%MEM   RSS
82.4 2460900
%MEM   RSS
82.4 2460900
%MEM   RSS
82.4 2460900
%MEM   RSS
82.5 2462764
%MEM   RSS
